mouse,cohort,pairstatus,startbw,endbw
mouse1,53,sub,30.9,35.1
mouse2,53,dom,34.8,36.3
mouse3,53,sub,33.8,36.9
mouse4,53,dom,36.8,38.5
mouse5,53,dom,33.5,33.7
mouse6,53,dom,34.7,37.1
mouse7,53,sub,32.7,NA
mouse8,53,sub,30.9,34
mouse9,53,sub,34,35.9
mouse10,53,dom,30.9,32.7
mouse11,53,dom,35.7,36.2
mouse12,53,sub,31,31.6
mouse1,54,dom,29.2,33.4
mouse2,54,sub,33.8,36.3
mouse3,54,dom,32.3,34.2
mouse4,54,sub,33.8,36.8
mouse5,54,sub,34.2,35.3
mouse6,54,sub,35.6,37.4
mouse7,54,dom,37.5,38.5
mouse8,54,dom,32.8,36.1
mouse9,54,dom,36.8,39.1
mouse10,54,sub,34.8,35.4
mouse11,54,sub,33.6,39.5
mouse12,54,dom,35.8,38.1
mouse1,55,dom,34.3,36.8
mouse2,55,dom,34.7,37.4
mouse3,55,dom,35,36
mouse4,55,sub,34.8,37.6
mouse5,55,dom,35.8,37.5
mouse6,55,sub,32.2,36.4
mouse7,55,dom,32.6,37.1
mouse8,55,sub,35.1,37.5
mouse9,55,sub,32.3,37.5
mouse10,55,sub,32.2,36
mouse11,55,dom,33.4,37.8
mouse12,55,sub,33.6,38.5
mouse1,56,sub,34.5,37.4
mouse2,56,sub,30.6,35.5
mouse3,56,sub,35.9,40.1
mouse4,56,dom,36.8,37.7
mouse5,56,sub,33.4,35.3
mouse6,56,dom,33.1,38.4
mouse7,56,sub,34.4,37.5
mouse8,56,dom,33.6,37.4
mouse9,56,dom,34,37.8
mouse10,56,dom,29.4,33
mouse11,56,sub,35,38.4
mouse12,56,dom,33,35.4
mouse1,57,dom,32.3,NA
mouse2,57,sub,32.4,33.8
mouse3,57,sub,30.1,33.1
mouse4,57,sub,31.2,31.7
mouse5,57,dom,35,37.6
mouse6,57,dom,32.1,35.1
mouse7,57,sub,32.5,35.4
mouse8,57,sub,33.1,35.3
mouse9,57,dom,31.5,33.6
mouse11,57,dom,31.6,35.7
mouse12,57,dom,32.4,35.6
mouse1,58,sub,33.5,36.8
mouse2,58,dom,32.8,35.4
mouse3,58,dom,32.7,34.5
mouse4,58,dom,31.8,36.4
mouse5,58,sub,30.2,33.4
mouse6,58,sub,28.4,31
mouse7,58,dom,33.4,35.2
mouse8,58,dom,33.2,34.2
mouse9,58,sub,32.3,36
mouse11,58,sub,29.5,35.7
mouse12,58,sub,33.7,40.3
